2018-01-13 21:22:52,885 INFO 4868 [egg:logger] init all loggers with options: {"dir":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\logs\\boncake-pro","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"INFO","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"boncake-pro-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-13 21:23:43,872 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_old___","remove":true,"isDirectory":false,"isFile":false}
2018-01-13 21:23:43,873 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849823848.5728,"mtimeMs":1515849823848.5728,"ctimeMs":1515849823848.5728,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.849Z","mtime":"2018-01-13T13:23:43.849Z","ctime":"2018-01-13T13:23:43.849Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:24:23,034 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860270052,"size":1911,"atimeMs":1515849863031.1538,"mtimeMs":1515849863032.1543,"ctimeMs":1515849863032.1543,"birthtimeMs":1515849863031.1538,"atime":"2018-01-13T13:24:23.031Z","mtime":"2018-01-13T13:24:23.032Z","ctime":"2018-01-13T13:24:23.032Z","birthtime":"2018-01-13T13:24:23.031Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:24:23,035 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860270052,"size":1911,"atimeMs":1515849863031.1538,"mtimeMs":1515849863032.1543,"ctimeMs":1515849863032.1543,"birthtimeMs":1515849863031.1538,"atime":"2018-01-13T13:24:23.031Z","mtime":"2018-01-13T13:24:23.032Z","ctime":"2018-01-13T13:24:23.032Z","birthtime":"2018-01-13T13:24:23.031Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:24:23,035 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860270052,"size":1911,"atimeMs":1515849863031.1538,"mtimeMs":1515849863032.1543,"ctimeMs":1515849863032.1543,"birthtimeMs":1515849863031.1538,"atime":"2018-01-13T13:24:23.031Z","mtime":"2018-01-13T13:24:23.032Z","ctime":"2018-01-13T13:24:23.032Z","birthtime":"2018-01-13T13:24:23.031Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:24:23,036 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849863031.1538,"mtimeMs":1515849863031.1538,"ctimeMs":1515849863031.1538,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:24:23.031Z","mtime":"2018-01-13T13:24:23.031Z","ctime":"2018-01-13T13:24:23.031Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:24:23,037 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_old___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":8725724278033132,"size":1894,"atimeMs":1515849823827.5623,"mtimeMs":1515849823833.5664,"ctimeMs":1515849863036.1565,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:43.828Z","mtime":"2018-01-13T13:23:43.834Z","ctime":"2018-01-13T13:24:23.036Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:24:23,040 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849863037.1567,"mtimeMs":1515849863037.1567,"ctimeMs":1515849863037.1567,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:24:23.037Z","mtime":"2018-01-13T13:24:23.037Z","ctime":"2018-01-13T13:24:23.037Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:24:23,040 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":1688849860270052,"size":1911,"atimeMs":1515849863031.1538,"mtimeMs":1515849863032.1543,"ctimeMs":1515849863032.1543,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:24:23.031Z","mtime":"2018-01-13T13:24:23.032Z","ctime":"2018-01-13T13:24:23.032Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:24:23,041 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","remove":true,"isDirectory":false,"isFile":false}
